id_names,condition,type,ierarchy,group,kind,ripeness,stage,integrity,class,class_type,tag_nums,alpha_horizons,centroids_norm_x,centroids_norm_y,main_diag_width,main_diag_height,main_diag_x0,main_diag_x1,main_diag_y0,main_diag_y1,main_diag_norm_x0,main_diag_norm_x1,main_diag_norm_y0,main_diag_norm_y1,part_height,part_width,height_norm,width_norm,area,area_bb_norm,area_mask_norm,x0_coord,y0_coord,x_coord_object,y_coord_object,x_coord_object_norm,y_coord_object_norm,height_norm_plant,width_norm_plant,area_bb_norm_plant,area_mask_norm_plant,img_id,obj_id,neighbour_part_types,connection_points,connection_points_norm,neighbours_count
alfalfa15.jpg.json_4_1,0,-1,-1,0,-1,-1,-1,-1,0,4,plant_1,80.72458728593855,0.5784938155628621,0.5604665727258494,11.758728553470576,72,352.3681101006517,340.6093815471811,304,376,0.5872801835010861,0.5676823025786352,0.5066666666666667,0.6266666666666667,72,55,0.12,0.0916666666666666,2129,0.011,0.0059138888888888,317,304,233.5,339.0,0.5956632653061225,0.5678391959798995,0.1206030150753768,0.1403061224489795,0.0169213414008819,0.0090973575359792,alfalfa15,alfalfa15_plant_1,"[4, 4, 1, 0]","[[375, 362], [314, 372], [376, 358], [376, 360]]","[[71, 45], [10, 55], [72, 41], [72, 43]]",4
alfalfa15.jpg.json_4_2,0,-1,-1,0,-1,-1,-1,-1,0,4,plant_1,51.09815378507555,0.7203109206767744,0.5974027686222808,39.54062267208337,49,455.1375930718482,415.5969703997648,330,379,0.758562655119747,0.6926616173329414,0.55,0.6316666666666667,49,62,0.0816666666666666,0.1033333333333333,1517,0.0084388888888888,0.0042138888888888,398,330,318.0,353.5,0.8112244897959183,0.5921273031825796,0.0820770519262981,0.1581632653061224,0.0129815745393634,0.006482241137661,alfalfa15,alfalfa15_plant_1,"[0, 1, 4, 4, 4]","[[379, 406], [373, 397], [335, 441], [329, 454], [361, 409]]","[[49, 8], [43, 0], [5, 43], [0, 56], [31, 11]]",5
alfalfa15.jpg.json_4_3,0,-1,-1,0,-1,-1,-1,-1,0,4,plant_1,77.09172568118686,0.7165454918874513,0.5247145204354077,14.66768438879228,64,436.3051508886339,421.6374664998416,287,351,0.7271752514810564,0.7027291108330693,0.4783333333333333,0.585,64,35,0.1066666666666666,0.0583333333333333,1623,0.0062222222222222,0.0045083333333333,412,287,318.5,318.0,0.8125,0.5326633165829145,0.1072026800670016,0.0892857142857142,0.0095716678631251,0.0069351861347554,alfalfa15,alfalfa15_plant_1,"[4, 4, 4, 4, 4, 0, 4, 1]","[[347, 411], [316, 447], [333, 439], [325, 414], [286, 438], [351, 414], [309, 416], [351, 411]]","[[60, 0], [29, 35], [46, 27], [38, 2], [0, 26], [64, 2], [22, 4], [64, 0]]",8
alfalfa15.jpg.json_4_4,0,-1,-1,0,-1,-1,-1,-1,0,4,plant_1,75.75617123762959,0.6872035338090383,0.4569614339109751,15.23117964295176,60,418.713341665162,403.4821620222102,249,309,0.6978555694419366,0.672470270037017,0.415,0.515,60,51,0.1,0.085,1962,0.0085,0.00545,388,249,302.5,278.0,0.7716836734693877,0.4656616415410385,0.100502512562814,0.1301020408163265,0.0130755819915906,0.0083837555122551,alfalfa15,alfalfa15_plant_1,"[4, 4, 0, 4]","[[248, 424], [309, 413], [248, 421], [309, 416]]","[[0, 36], [60, 25], [0, 33], [60, 28]]",4
alfalfa15.jpg.json_4_5,0,-1,-1,0,-1,-1,-1,-1,0,4,plant_1,72.61331714964233,0.6501960093896714,0.5715446009389672,20.35317494012969,65,399.8015712965412,379.44839635641154,312,377,0.666335952160902,0.6324139939273525,0.52,0.6283333333333333,65,42,0.1083333333333333,0.07,1420,0.0075833333333333,0.0039444444444444,372,312,282.0,343.5,0.7193877551020408,0.5753768844221105,0.1088777219430485,0.1071428571428571,0.0116654702081837,0.0060677537346596,alfalfa15,alfalfa15_plant_1,"[0, 4, 4, 4, 4, 4, 1]","[[315, 414], [314, 413], [314, 380], [325, 414], [375, 371], [366, 391], [377, 377]]","[[3, 42], [2, 41], [2, 8], [13, 42], [63, 0], [54, 19], [65, 5]]",7
alfalfa15.jpg.json_4_6,0,-1,-1,0,-1,-1,-1,-1,0,4,plant_1,39.28065987699127,0.6402408637873754,0.6050526024363233,48.904120405976016,40,407.4125626034583,358.5084421974823,344,384,0.6790209376724305,0.5975140703291372,0.5733333333333334,0.64,40,49,0.0666666666666666,0.0816666666666666,602,0.0054444444444444,0.0016722222222222,361,344,274.5,363.0,0.7002551020408163,0.6080402010050251,0.067001675041876,0.125,0.0083752093802345,0.0025723857382148,alfalfa15,alfalfa15_plant_1,"[4, 1, 4, 4, 4, 0]","[[375, 371], [384, 367], [347, 410], [356, 405], [375, 362], [362, 373]]","[[31, 10], [40, 6], [3, 49], [12, 44], [31, 1], [18, 12]]",6
alfalfa15.jpg.json_4_7,0,-1,-1,0,-1,-1,-1,-1,0,4,plant_1,64.28402954012259,0.7982107248720021,0.5178779304769604,22.63570961929173,47,494.2063857259108,471.57067610661903,279,326,0.8236773095431846,0.7859511268443651,0.465,0.5433333333333333,47,53,0.0783333333333333,0.0883333333333333,1237,0.0069194444444444,0.0034361111111111,450,279,365.5,301.5,0.9323979591836736,0.5050251256281407,0.0787269681742043,0.135204081632653,0.0106442074317164,0.0052857826547704,alfalfa15,alfalfa15_plant_1,"[4, 4, 4, 0]","[[279, 473], [316, 449], [326, 454], [326, 456]]","[[0, 23], [37, 0], [47, 4], [47, 6]]",4
alfalfa15.jpg.json_4_8,0,-1,-1,0,-1,-1,-1,-1,0,4,plant_1,89.4590103411658,0.7619715886354542,0.4095362144857943,0.9064638114709852,96,457.605230562994,456.698766751523,201,297,0.7626753842716567,0.7611646112525383,0.335,0.495,96,64,0.16,0.1066666666666666,4165,0.0170666666666666,0.0115694444444444,424,201,345.0,248.0,0.8801020408163265,0.4154103852596315,0.1608040201005025,0.1632653061224489,0.0262537175674289,0.0177973199329983,alfalfa15,alfalfa15_plant_1,"[4, 4, 4, 0]","[[279, 473], [286, 438], [248, 424], [273, 477]]","[[78, 49], [85, 14], [47, 0], [72, 53]]",4
alfalfa15.jpg.json_4_9,0,-1,-1,0,-1,-1,-1,-1,0,4,plant_1,84.11337913371132,0.3450449390113417,0.079652970967972,11.547642339240468,112,211.85138099304075,200.30373865380028,1,113,0.3530856349884012,0.3338395644230004,0.0016666666666666,0.1883333333333333,112,65,0.1866666666666666,0.1083333333333333,4673,0.0202222222222222,0.0129805555555555,182,1,103.5,56.0,0.2640306122448979,0.0938023450586264,0.1876046901172529,0.1658163265306122,0.0311079205551567,0.0199680374662427,alfalfa15,alfalfa15_plant_1,"[4, 1, 0]","[[67, 224], [113, 206], [113, 209]]","[[66, 42], [112, 24], [112, 27]]",3
alfalfa15.jpg.json_4_10,0,-1,-1,0,-1,-1,-1,-1,0,4,plant_1,96.19459309367332,0.4349356934500132,0.1415121983558737,7.814828399657529,72,257.17260068135795,264.9874290810155,50,122,0.4286210011355966,0.4416457151350258,0.0833333333333333,0.2033333333333333,72,53,0.12,0.0883333333333333,2514,0.0106,0.0069833333333333,235,50,150.5,85.0,0.3839285714285714,0.1423785594639866,0.1206030150753768,0.135204081632653,0.0163060198953953,0.0107424879499538,alfalfa15,alfalfa15_plant_1,"[2, 4, 2, 2, 0]","[[122, 272], [67, 234], [86, 288], [111, 281], [84, 283]]","[[72, 37], [17, 0], [36, 53], [61, 46], [34, 48]]",5
