id_name_1,id_name_2,dist,coords_1,coords_2
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_4_1,0.0,[376.5 360. ],[376.5 360. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_4_2,0.0,[379.5 406. ],[379.5 406. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_4_3,0.0,[351.5 414. ],[351.5 414. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_4_4,0.0,[248.5 421. ],[248.5 421. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_4_5,0.0,[315.5 414. ],[315.5 414. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_4_6,0.0,[362.  373.5],[362.  373.5]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_4_7,0.0,[326.5 456. ],[326.5 456. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_4_8,0.0,[273.  477.5],[273.  477.5]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_4_9,0.0,[113.5 209. ],[113.5 209. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_4_10,0.0,[ 84.5 283. ],[ 84.5 283. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_4_11,24.698178070456937,[201.5 305. ],[178.5 296. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_12,49.8196748283246,[178.  198.5],[187.  149.5]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_13,6.082762530298219,[178.  198.5],[179.  192.5]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_14,0.0,[252.5 204. ],[252.5 204. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_15,8.0,[268.  198.5],[268.  190.5]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_16,0.0,[117.  245.5],[117.  245.5]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_17,0.7071067811865476,[ 69.  313.5],[ 69.5 314. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_18,0.0,[ 59.  311.5],[ 59.  311.5]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_19,0.0,[ 85.  346.5],[ 85.  346.5]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_20,0.0,[120.  339.5],[120.  339.5]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_21,0.0,[208.5 292. ],[208.5 292. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_22,0.0,[196.5 322. ],[196.5 322. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_23,0.0,[143.5 384. ],[143.5 384. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_24,0.0,[122.  367.5],[122.  367.5]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_25,0.0,[573.5 247. ],[573.5 247. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_26,0.0,[552.5 229. ],[552.5 229. ]
alfalfa15.jpg.json_0_0,alfalfa15.jpg.json_2_27,0.0,[534.  229.5],[534.  229.5]
