id_name_1,id_name_2,dist,coords_1,coords_2,norm_coords_1_y,norm_coords_1_x,norm_coords_2_y,norm_coords_2_x
11.jpg.json_0_0,11.jpg.json_4_1,0.0,[240.5 207. ],[240.5 207. ],240.5,207.0,34.5,158.0
11.jpg.json_0_0,11.jpg.json_4_2,50.635955604688654,[216.5 248. ],[266.5 256. ],216.5,248.0,0.5,3.0
11.jpg.json_0_0,11.jpg.json_4_3,56.586217403180434,[240.5 207. ],[281.5 246. ],240.5,207.0,3.5,2.0
11.jpg.json_0_0,11.jpg.json_4_4,50.24937810560445,[216.5 248. ],[259.5 274. ],216.5,248.0,10.5,3.0
11.jpg.json_0_0,11.jpg.json_4_5,0.0,[124.  411.5],[124.  411.5],124.0,411.5,71.0,167.5
11.jpg.json_0_0,11.jpg.json_4_6,0.0,[216.  247.5],[216.  247.5],216.0,247.5,30.0,17.5
11.jpg.json_0_0,11.jpg.json_2_7,0.0,[211.5 229. ],[211.5 229. ],211.5,229.0,15.5,27.0
11.jpg.json_0_0,11.jpg.json_2_8,165.0605949341029,[124.5 412. ],[270.5 489. ],124.5,412.0,3.5,100.0
11.jpg.json_0_0,11.jpg.json_2_9,105.26157893552612,[240.5 207. ],[322.5 273. ],240.5,207.0,-0.5,45.0
11.jpg.json_0_0,11.jpg.json_2_10,110.86027241532469,[240.5 207. ],[343.5 248. ],240.5,207.0,3.5,52.0
11.jpg.json_0_0,11.jpg.json_2_11,81.05553651663777,[240.5 207. ],[321.5 210. ],240.5,207.0,-0.5,209.0
11.jpg.json_0_0,11.jpg.json_2_12,0.0,[206.   64.5],[206.   64.5],206.0,64.5,57.0,63.5
11.jpg.json_0_0,11.jpg.json_2_13,48.79036790187178,[214.  250.5],[248.5 285. ],214.0,250.5,90.5,1.0
11.jpg.json_0_0,11.jpg.json_2_14,0.0,[ 38.5 498. ],[ 38.5 498. ],38.5,498.0,-0.5,155.0
11.jpg.json_4_1,11.jpg.json_4_2,0.0,[270.  254.5],[270.  254.5],64.0,205.5,4.0,1.5
11.jpg.json_4_1,11.jpg.json_4_3,0.0,[278.  251.5],[278.  251.5],72.0,202.5,0.0,7.5
11.jpg.json_4_1,11.jpg.json_4_4,16.0312195418814,[266.  254.5],[265.  270.5],60.0,205.5,16.0,-0.5
11.jpg.json_4_1,11.jpg.json_4_5,0.0,[241.  246.5],[241.  246.5],35.0,197.5,188.0,2.5
11.jpg.json_4_1,11.jpg.json_4_6,0.0,[253.5 239. ],[253.5 239. ],47.5,190.0,67.5,9.0
11.jpg.json_4_1,11.jpg.json_2_7,0.0,[240.5 208. ],[240.5 208. ],34.5,159.0,44.5,6.0
11.jpg.json_4_1,11.jpg.json_2_8,141.03900169811186,[272.  254.5],[316.  388.5],66.0,205.5,49.0,-0.5
11.jpg.json_4_1,11.jpg.json_2_9,48.373546489791295,[280.5 249. ],[322.5 273. ],74.5,200.0,-0.5,45.0
11.jpg.json_4_1,11.jpg.json_2_10,52.92447448959697,[294.5 228. ],[343.5 248. ],88.5,179.0,3.5,52.0
11.jpg.json_4_1,11.jpg.json_2_11,0.0,[398.5 105. ],[398.5 105. ],192.5,56.0,76.5,104.0
11.jpg.json_4_1,11.jpg.json_2_12,0.0,[223.5  56. ],[223.5  56. ],17.5,7.0,74.5,55.0
11.jpg.json_4_1,11.jpg.json_2_13,31.016124838541646,[266.  254.5],[265.  285.5],60.0,205.5,107.0,1.5
11.jpg.json_4_1,11.jpg.json_2_14,99.72462083156798,[239.  246.5],[212.  342.5],33.0,197.5,173.0,-0.5
11.jpg.json_4_2,11.jpg.json_4_3,0.0,[281.  252.5],[281.  252.5],15.0,-0.5,3.0,8.5
11.jpg.json_4_2,11.jpg.json_4_4,0.0,[265.5 271. ],[265.5 271. ],-0.5,18.0,16.5,0.0
11.jpg.json_4_2,11.jpg.json_4_5,0.0,[266.5 256. ],[266.5 256. ],0.5,3.0,213.5,12.0
11.jpg.json_4_2,11.jpg.json_4_6,4.242640687119285,[267.  255.5],[264.  252.5],1.0,2.5,78.0,22.5
11.jpg.json_4_2,11.jpg.json_2_7,27.65863337187866,[267.  255.5],[249.  234.5],1.0,2.5,53.0,32.5
11.jpg.json_4_2,11.jpg.json_2_8,0.0,[318.  388.5],[318.  388.5],52.0,135.5,51.0,-0.5
11.jpg.json_4_2,11.jpg.json_2_9,0.0,[334.  281.5],[334.  281.5],68.0,28.5,11.0,53.5
11.jpg.json_4_2,11.jpg.json_2_10,20.50609665440988,[325.5 275. ],[340.  260.5],59.5,22.0,0.0,64.5
11.jpg.json_4_2,11.jpg.json_2_11,25.079872407968907,[315.  267.5],[325.  244.5],49.0,14.5,3.0,243.5
11.jpg.json_4_2,11.jpg.json_2_12,199.9199839935968,[275.  252.5],[207.   64.5],9.0,-0.5,58.0,63.5
11.jpg.json_4_2,11.jpg.json_2_13,0.0,[265.5 286. ],[265.5 286. ],-0.5,33.0,107.5,2.0
11.jpg.json_4_2,11.jpg.json_2_14,68.60029154456998,[271.5 308. ],[212.5 343. ],5.5,55.0,173.5,0.0
11.jpg.json_4_3,11.jpg.json_4_4,22.20360331117452,[278.  252.5],[265.  270.5],0.0,8.5,16.0,-0.5
11.jpg.json_4_3,11.jpg.json_4_5,11.40175425099138,[277.5 252. ],[266.5 255. ],-0.5,8.0,213.5,11.0
11.jpg.json_4_3,11.jpg.json_4_6,11.704699910719626,[277.5 252. ],[266.5 248. ],-0.5,8.0,80.5,18.0
11.jpg.json_4_3,11.jpg.json_2_7,33.015148038438355,[277.5 252. ],[250.5 233. ],-0.5,8.0,54.5,31.0
11.jpg.json_4_3,11.jpg.json_2_8,127.0,[316.  261.5],[316.  388.5],38.0,17.5,49.0,-0.5
11.jpg.json_4_3,11.jpg.json_2_9,6.324555320336759,[334.  259.5],[336.  265.5],56.0,15.5,13.0,37.5
11.jpg.json_4_3,11.jpg.json_2_10,0.0,[341.5 254. ],[341.5 254. ],63.5,10.0,1.5,58.0
11.jpg.json_4_3,11.jpg.json_2_11,0.0,[341.5 248. ],[341.5 248. ],63.5,4.0,19.5,247.0
11.jpg.json_4_3,11.jpg.json_2_12,195.92345444075855,[282.  245.5],[207.   64.5],4.0,1.5,58.0,63.5
11.jpg.json_4_3,11.jpg.json_2_13,35.4682957019364,[278.  252.5],[265.  285.5],0.0,8.5,107.0,1.5
11.jpg.json_4_3,11.jpg.json_2_14,111.60645142642964,[278.  252.5],[212.  342.5],0.0,8.5,173.0,-0.5
11.jpg.json_4_4,11.jpg.json_4_5,0.0,[265.  270.5],[265.  270.5],16.0,-0.5,212.0,26.5
11.jpg.json_4_4,11.jpg.json_4_6,17.26267650163207,[264.  270.5],[261.  253.5],15.0,-0.5,75.0,23.5
11.jpg.json_4_4,11.jpg.json_2_7,38.91015291668744,[264.  270.5],[247.  235.5],15.0,-0.5,51.0,33.5
11.jpg.json_4_4,11.jpg.json_2_8,73.60027173862879,[255.5 346. ],[314.5 390. ],6.5,75.0,47.5,1.0
11.jpg.json_4_4,11.jpg.json_2_9,57.0,[265.5 273. ],[322.5 273. ],16.5,2.0,-0.5,45.0
11.jpg.json_4_4,11.jpg.json_2_10,74.81310045707235,[265.5 271. ],[339.5 260. ],16.5,0.0,-0.5,64.0
11.jpg.json_4_4,11.jpg.json_2_11,64.88451279003334,[265.5 271. ],[324.5 244. ],16.5,0.0,2.5,243.0
11.jpg.json_4_4,11.jpg.json_2_12,213.7404968647729,[264.  270.5],[207.   64.5],15.0,-0.5,58.0,63.5
11.jpg.json_4_4,11.jpg.json_2_13,0.0,[256.5 285. ],[256.5 285. ],7.5,14.0,98.5,1.0
11.jpg.json_4_4,11.jpg.json_2_14,36.013886210738214,[248.5 342. ],[212.5 343. ],-0.5,71.0,173.5,0.0
11.jpg.json_4_5,11.jpg.json_4_6,0.0,[264.  252.5],[264.  252.5],211.0,8.5,78.0,22.5
11.jpg.json_4_5,11.jpg.json_2_7,11.0,[247.  246.5],[247.  235.5],194.0,2.5,51.0,33.5
11.jpg.json_4_5,11.jpg.json_2_8,123.1665539016173,[233.  297.5],[316.  388.5],180.0,53.5,49.0,-0.5
11.jpg.json_4_5,11.jpg.json_2_9,57.07889277132134,[265.5 270. ],[322.5 273. ],212.5,26.0,-0.5,45.0
11.jpg.json_4_5,11.jpg.json_2_10,73.0,[266.5 260. ],[339.5 260. ],213.5,16.0,-0.5,64.0
11.jpg.json_4_5,11.jpg.json_2_11,59.033888572581766,[266.5 255. ],[324.5 244. ],213.5,11.0,2.5,243.0
11.jpg.json_4_5,11.jpg.json_2_12,183.273020382161,[217.  247.5],[207.   64.5],164.0,3.5,58.0,63.5
11.jpg.json_4_5,11.jpg.json_2_13,0.7071067811865476,[248.  284.5],[248.5 285. ],195.0,40.5,90.5,1.0
11.jpg.json_4_5,11.jpg.json_2_14,0.0,[125.  411.5],[125.  411.5],72.0,167.5,86.0,68.5
11.jpg.json_4_6,11.jpg.json_2_7,0.0,[248.  234.5],[248.  234.5],62.0,4.5,52.0,32.5
11.jpg.json_4_6,11.jpg.json_2_8,145.60219778561037,[264.  252.5],[316.  388.5],78.0,22.5,49.0,-0.5
11.jpg.json_4_6,11.jpg.json_2_9,61.09828148156051,[265.5 251. ],[322.5 273. ],79.5,21.0,-0.5,45.0
11.jpg.json_4_6,11.jpg.json_2_10,73.55270219373317,[266.5 248. ],[339.5 257. ],80.5,18.0,-0.5,61.0
11.jpg.json_4_6,11.jpg.json_2_11,58.137767414994535,[266.5 248. ],[324.5 244. ],80.5,18.0,2.5,243.0
11.jpg.json_4_6,11.jpg.json_2_12,165.0,[207.  229.5],[207.   64.5],21.0,-0.5,58.0,63.5
11.jpg.json_4_6,11.jpg.json_2_13,30.4138126514911,[260.  253.5],[255.  283.5],74.0,23.5,97.0,-0.5
11.jpg.json_4_6,11.jpg.json_2_14,93.0,[211.  249.5],[211.  342.5],25.0,19.5,172.0,-0.5
11.jpg.json_2_7,11.jpg.json_2_8,167.83920876839238,[247.  235.5],[316.  388.5],51.0,33.5,49.0,-0.5
11.jpg.json_2_7,11.jpg.json_2_9,82.365041127896,[250.5 233. ],[322.5 273. ],54.5,31.0,-0.5,45.0
11.jpg.json_2_7,11.jpg.json_2_10,92.17917335276988,[250.5 233. ],[339.5 257. ],54.5,31.0,-0.5,61.0
11.jpg.json_2_7,11.jpg.json_2_11,71.06335201775947,[250.5 232. ],[321.5 229. ],54.5,30.0,-0.5,228.0
11.jpg.json_2_7,11.jpg.json_2_12,137.0,[207.  201.5],[207.   64.5],11.0,-0.5,58.0,63.5
11.jpg.json_2_7,11.jpg.json_2_13,48.25971404805462,[247.  235.5],[252.  283.5],51.0,33.5,94.0,-0.5
11.jpg.json_2_7,11.jpg.json_2_14,109.48972554536796,[230.  234.5],[212.  342.5],34.0,32.5,173.0,-0.5
11.jpg.json_2_8,11.jpg.json_2_9,108.18964830333816,[318.  388.5],[334.  281.5],51.0,-0.5,11.0,53.5
11.jpg.json_2_8,11.jpg.json_2_10,129.87686476043376,[318.  388.5],[340.  260.5],51.0,-0.5,0.0,64.5
11.jpg.json_2_8,11.jpg.json_2_11,142.04224723651762,[318.  388.5],[342.  248.5],51.0,-0.5,20.0,247.5
11.jpg.json_2_8,11.jpg.json_2_12,341.84353145847297,[316.  388.5],[207.   64.5],49.0,-0.5,58.0,63.5
11.jpg.json_2_8,11.jpg.json_2_13,69.35416353759881,[314.5 390. ],[253.5 357. ],47.5,1.0,95.5,73.0
11.jpg.json_2_8,11.jpg.json_2_14,102.70345661174214,[266.5 497. ],[164.5 485. ],-0.5,108.0,125.5,142.0
11.jpg.json_2_9,11.jpg.json_2_10,0.0,[373.  249.5],[373.  249.5],50.0,21.5,33.0,53.5
11.jpg.json_2_9,11.jpg.json_2_11,11.6619037896906,[349.  258.5],[343.  248.5],26.0,30.5,21.0,247.5
11.jpg.json_2_9,11.jpg.json_2_12,237.4721036248258,[330.  268.5],[223.   56.5],7.0,40.5,74.0,55.5
11.jpg.json_2_9,11.jpg.json_2_13,58.240879114244144,[322.5 273. ],[266.5 289. ],-0.5,45.0,108.5,5.0
11.jpg.json_2_9,11.jpg.json_2_14,130.38404810405297,[322.5 273. ],[212.5 343. ],-0.5,45.0,173.5,0.0
11.jpg.json_2_10,11.jpg.json_2_11,0.0,[344.  247.5],[344.  247.5],4.0,51.5,22.0,246.5
11.jpg.json_2_10,11.jpg.json_2_12,224.96444163467257,[351.  241.5],[223.   56.5],11.0,45.5,74.0,55.5
11.jpg.json_2_10,11.jpg.json_2_13,78.43468620451031,[339.5 260. ],[265.5 286. ],-0.5,64.0,107.5,2.0
11.jpg.json_2_10,11.jpg.json_2_14,151.71684151734772,[339.5 260. ],[212.5 343. ],-0.5,64.0,173.5,0.0
11.jpg.json_2_11,11.jpg.json_2_12,150.41608956491322,[351.5 135. ],[223.5  56. ],29.5,134.0,74.5,55.0
11.jpg.json_2_11,11.jpg.json_2_13,72.42237223399962,[324.5 244. ],[265.5 286. ],2.5,243.0,107.5,2.0
11.jpg.json_2_11,11.jpg.json_2_14,149.4824404403407,[324.5 244. ],[212.5 343. ],2.5,243.0,173.5,0.0
11.jpg.json_2_12,11.jpg.json_2_13,223.5754906066405,[207.   64.5],[252.  283.5],58.0,63.5,94.0,-0.5
11.jpg.json_2_12,11.jpg.json_2_14,278.0287754891569,[207.   64.5],[211.  342.5],58.0,63.5,172.0,-0.5
11.jpg.json_2_13,11.jpg.json_2_14,0.0,[208.5 357. ],[208.5 357. ],50.5,73.0,169.5,14.0
11478.jpg.json_0_0,11478.jpg.json_1_1,41.48493702538308,[499.  287.5],[488.  247.5],499.0,287.5,49.0,31.5
11478.jpg.json_0_0,11478.jpg.json_2_2,32.69556544854363,[447.  102.5],[460.  132.5],447.0,102.5,6.0,-0.5
11478.jpg.json_0_0,11478.jpg.json_2_3,0.0,[446.  102.5],[446.  102.5],446.0,102.5,3.0,21.5
11478.jpg.json_0_0,11478.jpg.json_2_4,2.1213203435596424,[499.  287.5],[497.5 286. ],499.0,287.5,26.5,43.0
11478.jpg.json_0_0,11478.jpg.json_2_5,0.0,[489.  297.5],[489.  297.5],489.0,297.5,91.0,42.5
11478.jpg.json_0_0,11478.jpg.json_1_6,0.0,[498.5 288. ],[498.5 288. ],498.5,288.0,64.5,2.0
11478.jpg.json_0_0,11478.jpg.json_4_7,0.0,[481.5 335. ],[481.5 335. ],481.5,335.0,23.5,10.0
11478.jpg.json_0_0,11478.jpg.json_4_8,0.0,[309.   46.5],[309.   46.5],309.0,46.5,31.0,14.5
